P(boon,|"'a) = 100%	
P(within|up) = 1%	
P(three|up) = 1%	
P(as|up) = 2%	
P(at|up) = 2%	
P(in|up) = 5%	
P(earthworks|up) = 1%	
P(statues|up) = 1%	
P(your|up) = 1%	
P(before|up) = 1%	
P(from|up) = 2%	
P(for|up) = 1%	
P(no|up) = 1%	
P(arms|up) = 3%	
P(their|up) = 7%	
P(soil|up) = 1%	
P(out|up) = 1%	
P(was|up) = 2%	
P(more|up) = 1%	
P(his|up) = 5%	
P(to|up) = 16%	
P(ceolwulf|up) = 1%	
P(under|up) = 1%	
P(huts|up) = 1%	
P(most|up) = 1%	
P(every|up) = 1%	
P(with|up) = 1%	
P(by|up) = 2%	
P(a|up) = 6%	
P(on|up) = 3%	
P(splendid|up) = 1%	
P(of|up) = 2%	
P(against|up) = 1%	
P(without|up) = 1%	
P(the|up) = 14%	
P(and|up,) = 35%	
P(on|up,) = 6%	
P(great|up,) = 6%	
P(they|up,) = 6%	
P(that|up,) = 6%	
P(nonproprietary|up,) = 6%	
P(but|up,) = 6%	
P(sword|up,) = 6%	
P(the|up,) = 6%	
P(with|up,) = 6%	
P(having|up,) = 6%	
P(severed|up,) = 6%	
P(that|up;) = 100%	
P(of|upbuilding) = 100%	
P(editions|updated) = 100%	
P(his|upheld) = 100%	
P(the|upheld.) = 100%	
P(and|upon) = 0%	
P(this|upon) = 2%	
P(all|upon) = 0%	
P(lands|upon) = 0%	
P(gisilbrecht,|upon) = 0%	
P(his|upon) = 9%	
P(ethelred's|upon) = 0%	
P(some|upon) = 0%	
P(an|upon) = 0%	
P(as|upon) = 1%	
P(himself|upon) = 1%	
P(london|upon) = 0%	
P(another|upon) = 0%	
P(our|upon) = 1%	
P(earth|upon) = 0%	
P(gawhar|upon) = 0%	
P(rome;|upon) = 0%	
P(london,|upon) = 0%	
P(them.|upon) = 0%	
P(vannes;|upon) = 0%	
P(for|upon) = 0%	
P(to|upon) = 2%	
P(with|upon) = 0%	
P(denewulf|upon) = 0%	
P(him.|upon) = 1%	
P(their|upon) = 3%	
P(him,|upon) = 1%	
P(babies|upon) = 0%	
P(canute's|upon) = 0%	
P(war|upon) = 0%	
P(it.|upon) = 0%	
P(gehwar|upon) = 0%	
P(them|upon) = 2%	
P(godwin,|upon) = 0%	
P(which|upon) = 5%	
P(zab|upon) = 0%	
P(thee|upon) = 0%	
P(henry|upon) = 0%	
P(damascus,|upon) = 1%	
P(thee?|upon) = 0%	
P(elak.|upon) = 0%	
P(every|upon) = 0%	
P(immediate|upon) = 0%	
P(suidger,|upon) = 0%	
P(foundations|upon) = 0%	
P(one|upon) = 1%	
P(striving|upon) = 0%	
P(him|upon) = 2%	
P(those|upon) = 0%	
P(a|upon) = 5%	
P(instant|upon) = 0%	
P(her|upon) = 0%	
P(thy|upon) = 0%	
P(earth:|upon) = 0%	
P(many|upon) = 0%	
P(himself.|upon) = 0%	
P(england.|upon) = 0%	
P(these|upon) = 1%	
P(rome|upon) = 0%	
P(constantinople,|upon) = 0%	
P(english|upon) = 0%	
P(aid|upon) = 0%	
P(the|upon) = 37%	
P(them,|upon) = 1%	
P(my|upon) = 1%	
P(russia|upon) = 0%	
P(crucifixes;|upon) = 0%	
P(and|upon,) = 50%	
P(to|upon,) = 50%	
P(volga.|upper) = 17%	
P(are|upper) = 17%	
P(burgundy,|upper) = 17%	
P(classes,|upper) = 17%	
P(garments;|upper) = 17%	
P(valley|upper) = 17%	
P(protector|upright) = 50%	
P(man,|upright) = 50%	
P(took|upright,) = 100%	
P(of|uprightness) = 100%	
P(it,|upset) = 100%	
P(down|upside) = 100%	
P(of|upward) = 100%	
P(struck|upward,) = 100%	
P(and|urban) = 9%	
P(ii|urban) = 45%	
P(to|urban) = 9%	
P(bade|urban) = 9%	
P(at|urban) = 9%	
P(ii.|urban) = 18%	
P(when|urban,) = 50%	
P(if|urban,) = 50%	
P(on|urge) = 100%	
P(them|urged) = 25%	
P(his|urged) = 13%	
P(that|urged) = 13%	
P(upon|urged) = 13%	
P(it|urged) = 13%	
P(through|urged) = 13%	
P(him|urged) = 13%	
P(these|urged.) = 100%	
P(in|urgent) = 100%	
P(to|urgently) = 33%	
P(demanded|urgently) = 33%	
P(demand|urgently) = 33%	
P(her|urges) = 100%	
P(a|urging) = 25%	
P(the|urging) = 25%	
P(onward;|urging) = 25%	
P(that|urging) = 25%	
P(who|urraca,) = 100%	
P(and|us) = 4%	
P(all!"|us) = 1%	
P(all|us) = 1%	
P(suddenly|us) = 1%	
P(pass|us) = 1%	
P(some|us) = 1%	
P(as|us) = 3%	
P(in|us) = 3%	
P(should|us) = 1%	
P(any|us) = 1%	
P(out|us) = 1%	
P(nearer|us) = 1%	
P(do.|us) = 1%	
P(their|us) = 1%	
P(constantly|us) = 1%	
P(afterward|us) = 1%	
P(how|us) = 1%	
P(of|us) = 3%	
P(take|us) = 1%	
P(unanswered.|us) = 1%	
P(feel."|us) = 1%	
P(many|us) = 1%	
P(therefore|us) = 1%	
P(then|us) = 1%	
P(such|us) = 1%	
P(finish|us) = 1%	
P(to|us) = 13%	
P(that|us) = 7%	
P(afresh;|us) = 1%	
P(learn|us) = 1%	
P(this;|us) = 1%	
P(not|us) = 1%	
P(from|us) = 6%	
P(with|us) = 3%	
P(by|us) = 1%	
P(recall|us) = 1%	
P(a|us) = 1%	
P(on|us) = 1%	
P(look|us) = 1%	
P(whether|us) = 1%	
P(die|us) = 1%	
P(leave|us) = 1%	
P(so|us) = 1%	
P(english|us) = 1%	
P(the|us) = 4%	
P(first|us) = 1%	
P(and|us,) = 13%	
P(and,|us,) = 6%	
P(this|us,) = 6%	
P(of|us,) = 6%	
P(who|us,) = 6%	
P(therefore,|us,) = 6%	
P(but|us,) = 6%	
P(to|us,) = 6%	
P(as|us,) = 6%	
P(in|us,) = 19%	
P(not|us,) = 6%	
P(was|us,) = 6%	
P(or|us,) = 6%	
P(cried|us,") = 100%	
P(custom|us--a) = 100%	
P(heads|us--their) = 100%	
P(may|us--we) = 100%	
P(the|us.) = 50%	
P(we|us.) = 25%	
P(but|us.) = 25%	
P(for|us;) = 20%	
P(but|us;) = 60%	
P(it|us;) = 20%	
P(thine|us?) = 100%	
P(would|usage) = 100%	
P(the|usage.) = 100%	
P(and|usages) = 33%	
P(of|usages) = 67%	
P(smiled|usages,) = 100%	
P(king|usbek) = 100%	
P(the|usbek,) = 100%	
P(and|use) = 6%	
P(his|use) = 3%	
P(this|use) = 6%	
P(of|use) = 55%	
P(to|use) = 6%	
P(part|use) = 3%	
P(in|use) = 3%	
P(the|use) = 13%	
P(more|use) = 3%	
P(and|use,) = 100%	
P(in|use.) = 50%	
P(he|use.) = 50%	
P(on|used) = 6%	
P(them|used) = 6%	
P(to|used) = 11%	
P(religion|used) = 6%	
P(obeid-allah's|used) = 6%	
P(as|used) = 6%	
P(every|used) = 6%	
P(at|used) = 6%	
P(in|used) = 28%	
P(the|used) = 11%	
P(fleets,|used) = 6%	
P(if|used) = 6%	
P(set|used--perhaps) = 100%	
P(offices.|useful) = 33%	
P(by|useful) = 33%	
P(knowledge|useful) = 33%	
P(of|usefulness) = 100%	
P(undertaking,|useless) = 17%	
P(woods,|useless) = 17%	
P(wars.|useless) = 17%	
P(to|useless) = 17%	
P(as|useless) = 17%	
P(scimitar,|useless) = 17%	
P(if|useless,) = 100%	
P(resolved|useless--he) = 100%	
P(for|uselessly;) = 100%	
P(to|user) = 50%	
P(who|user) = 50%	
P(provide|user,) = 100%	
P(a|uses) = 100%	
P(after|uses.) = 100%	
P(a|using) = 17%	
P(and|using) = 17%	
P(the|using) = 33%	
P(any|using) = 17%	
P(or|using) = 17%	
P(dogmas|usual) = 14%	
P(activity|usual) = 14%	
P(impetuosity,|usual) = 14%	
P(pay|usual) = 14%	
P(heathen|usual) = 14%	
P(varangian,|usual) = 14%	
P(ceremony,|usual) = 14%	
P(and|usual,) = 25%	
P(during|usual,) = 25%	
P(the|usual,) = 25%	
P(allowing|usual,) = 25%	
P(a|usually) = 67%	
P(bathed|usually) = 33%	
P(occupation|usufruct--the) = 100%	
P(supreme|usurp) = 100%	
P(of|usurpation) = 100%	
P(or|usurpation,) = 100%	
P(the|usurped) = 67%	
P(or|usurped) = 17%	
P(power|usurped) = 17%	
P(was|usurper) = 100%	
P(but|usurper.) = 100%	
P(whose|usurpers) = 50%	
P(without|usurpers) = 50%	
P(ali|usurpers.) = 100%	
P(and|usurpers;) = 100%	
P(caliphs.|usurping) = 50%	
P(the|usurping) = 50%	
P(the|usurps) = 100%	
P(84116,|ut) = 100%	
P(the|utilize) = 100%	
P(simplicity,|utmost) = 13%	
P(desolation,|utmost) = 13%	
P(possible|utmost) = 13%	
P(height|utmost) = 13%	
P(to|utmost) = 13%	
P(care,|utmost) = 13%	
P(efforts|utmost) = 13%	
P(he|utmost) = 13%	
P(but|utmost;) = 100%	
P(attempted|utopian) = 100%	
P(simonists.|utter) = 17%	
P(one|utter) = 17%	
P(depth|utter) = 17%	
P(despair.|utter) = 17%	
P(was|utter) = 17%	
P(neglect|utter) = 17%	
P(in|utterance) = 100%	
P(of|utterances) = 100%	
P(this|uttered) = 33%	
P(the|uttered) = 33%	
P(that|uttered) = 33%	
P(cries|uttering) = 50%	
P(shrill|uttering) = 50%	
P(renounced|utterly) = 17%	
P(ruined;|utterly) = 17%	
P(forbid|utterly) = 17%	
P(broken|utterly) = 17%	
P(ignorant|utterly) = 17%	
P(powerless,|utterly) = 17%	
P(and|v) = 20%	
P(of|v) = 40%	
P(enters|v) = 20%	
P(to|v) = 20%	
P(189.|v,) = 2%	
P(49.|v,) = 12%	
P(353.|v,) = 2%	
P(second|v,) = 2%	
P(231.|v,) = 7%	
P(256.|v,) = 5%	
P(177.|v,) = 3%	
P(22.|v,) = 13%	
P(317.|v,) = 10%	
P(340.|v,) = 3%	
P(82.|v,) = 8%	
P(276.|v,) = 5%	
P(242.|v,) = 2%	
P(109.|v,) = 2%	
P(151.|v,) = 2%	
P(141.|v,) = 2%	
P(128.|v,) = 2%	
P(94.|v,) = 3%	
P(301.|v,) = 2%	
P(204.|v,) = 3%	
P(the|v,) = 2%	
P(164.|v,) = 7%	
P(1.|v,) = 3%	
P(who,|v;) = 100%	
P(in|vacancy) = 100%	
P(bishoprics,|vacant) = 25%	
P(dignity.|vacant) = 25%	
P(by|vacant) = 25%	
P(till|vacant) = 25%	
P(on|vacant,) = 100%	
P(by|vacated) = 100%	
P(and|vacillating) = 100%	
P(pirates|vagabond) = 100%	
P(whom|vagrants) = 100%	
P(and|vague) = 50%	
P(non-aryan|vague) = 25%	
P(reminiscence|vague) = 25%	
P(to|vaguely) = 50%	
P(asserted,|vaguely) = 50%	
P(thou|vain) = 17%	
P(to|vain) = 33%	
P(attempts|vain) = 17%	
P(the|vain) = 33%	
P(and|vain,) = 20%	
P(even|vain,) = 20%	
P(the|vain,) = 20%	
P(changed|vain,) = 20%	
P(imperious,|vain,) = 20%	
P(the|vain.) = 50%	
P(she|vain.) = 25%	
P(he|vain.) = 25%	
P(he|vain:) = 100%	
P(were|vainglory,) = 100%	
P(offered|vainly) = 14%	
P(besieged|vainly) = 14%	
P(entreated|vainly) = 14%	
P(defended|vainly) = 14%	
P(strove|vainly) = 14%	
P(endeavored|vainly) = 29%	
P(king|valais,) = 100%	
P(to|vale) = 100%	
P((yahia)|valencia) = 50%	
P(next|valencia) = 50%	
P(where|valencia,) = 100%	
P(where|valery,) = 50%	
P(were|valery,) = 50%	
P(and|valery;) = 100%	
P(appear|vales,) = 100%	
P(and|valiant) = 13%	
P(on|valiant) = 13%	
P(folk,|valiant) = 13%	
P(arsallah,|valiant) = 13%	
P(foe|valiant) = 13%	
P(followers|valiant) = 13%	
P(soldiers|valiant) = 13%	
P(monarch,|valiant) = 13%	
P(a|valiant,) = 33%	
P(king|valiant,) = 33%	
P(who|valiant,) = 33%	
P(to|valiantly) = 33%	
P(against|valiantly) = 33%	
P(in|valiantly) = 33%	
P(he|validity.) = 100%	
P(of|valley) = 50%	
P(on|valley) = 17%	
P(where|valley) = 17%	
P(below,|valley) = 17%	
P(attacking|valley,) = 100%	
P(and|valley.) = 50%	
P(his|valley.) = 50%	
P(seated|valois,) = 100%	
P(and|valor) = 20%	
P(of|valor) = 30%	
P(in|valor) = 20%	
P(worthy|valor) = 10%	
P(attained|valor) = 10%	
P(was|valor) = 10%	
P(and|valor,) = 100%	
P(their|valor.) = 100%	
P(they|valor:) = 100%	
P(repulsed|valorously) = 100%	
P(kinsman,|valthiof's) = 50%	
P(farm,|valthiof's) = 50%	
P(eyiolf|valthiofsstadir.) = 100%	
P(medical|valuable) = 100%	
P(rather|valuation) = 100%	
P(not|value) = 11%	
P(of|value) = 56%	
P(to|value) = 11%	
P(which|value) = 11%	
P(in|value) = 11%	
P(and|value,) = 25%	
P(it|value,) = 25%	
P(for|value,) = 25%	
P(in|value,) = 25%	
P(and|value;) = 100%	
P(their|valued) = 50%	
P(at|valued) = 50%	
P(of|van) = 100%	
P(of|vanguard) = 100%	
P(ascii,|vanilla) = 33%	
P(ascii"|vanilla) = 67%	
P(like|vanished) = 100%	
P(and|vanities) = 100%	
P(louis|vannes;) = 100%	
P(were|vanquished) = 100%	
P(charlemagne's|vanquished.") = 100%	
P(the|vanquishes) = 100%	
P(tribe|varangian) = 33%	
P(martyrs|varangian) = 33%	
P(chief,|varangian) = 33%	
P(italian,|varangian,) = 100%	
P(theodore|varangians) = 20%	
P(the|varangians) = 20%	
P(who|varangians) = 20%	
P(or|varangians) = 20%	
P(swore|varangians) = 20%	
P(vladimir|varangians,) = 100%	
P(they|varangians.) = 100%	
P(but|varham;) = 100%	
P(elements|varied) = 33%	
P(fortunes;|varied) = 33%	
P(by|varied) = 33%	
P(marble,|variegated) = 100%	
P(the|varies) = 100%	
P(of|varieties) = 100%	
P(of|variety) = 100%	
P(states,|various) = 3%	
P(as|various) = 3%	
P(marauding|various) = 3%	
P(guilds|various) = 3%	
P(nations,|various) = 10%	
P(worthless|various) = 3%	
P(petty|various) = 3%	
P(illustrious|various) = 3%	
P(ways,|various) = 3%	
P(ways.|various) = 3%	
P(details,|various) = 3%	
P(parts|various) = 3%	
P(futile|various) = 3%	
P(dukes|various) = 3%	
P(fragments|various) = 3%	
P(buildings|various) = 3%	
P(gifts|various) = 3%	
P(external|various) = 3%	
P(strong|various) = 3%	
P(off|various) = 3%	
P(modes|various) = 3%	
P(places|various) = 3%	
P(repulses|various) = 3%	
P(castles.|various) = 3%	
P(forms,|various) = 3%	
P(formats|various) = 3%	
P(explanations|various) = 3%	
P(other|various) = 3%	
P(edited|various,) = 100%	
P(brought|varlet) = 100%	
P(who|varlets) = 100%	
P(as|vary) = 50%	
P(in|vary) = 50%	
P(are|vary,) = 100%	
P(as|varying) = 33%	
P(success,|varying) = 33%	
P(in|varying) = 33%	
P(or|vasconia) = 100%	
P(austrasians,|vasconians,) = 100%	
P(and|vassal) = 8%	
P(even|vassal) = 8%	
P(for|vassal) = 8%	
P(of|vassal) = 46%	
P(is|vassal) = 8%	
P(handed|vassal) = 8%	
P(to|vassal) = 8%	
P(in|vassal) = 8%	
P(and|vassal,) = 20%	
P(not|vassal,) = 20%	
P(the|vassal,) = 20%	
P(to|vassal,) = 20%	
P(shall|vassal,) = 20%	
P(this|vassal.) = 50%	
P(rollo,|vassal.) = 50%	
P(the|vassal;) = 100%	
P(and|vassalage) = 50%	
P(to|vassalage) = 50%	
P(a|vassalage.) = 100%	
P(and|vassals) = 6%	
P(who,|vassals) = 6%	
P(retained|vassals) = 6%	
P(that|vassals) = 6%	
P(relieved|vassals) = 6%	
P(of|vassals) = 31%	
P(sometimes|vassals) = 6%	
P(soever|vassals) = 6%	
P(to|vassals) = 6%	
P(under|vassals) = 13%	
P(with|vassals) = 6%	
P(and|vassals,) = 33%	
P(giving|vassals,) = 17%	
P(may|vassals,) = 17%	
P(either|vassals,) = 17%	
P(valiant|vassals,) = 17%	
P(the|vassals.) = 50%	
P(his|vassals.) = 25%	
P(lanfranc|vassals.) = 25%	
P(but|vassals;) = 100%	
P(and|vast) = 3%	
P(army,|vast) = 3%	
P(heap|vast) = 3%	
P(estate|vast) = 3%	
P(number|vast) = 7%	
P(brakes|vast) = 3%	
P(gulf|vast) = 3%	
P(army|vast) = 3%	
P(host,|vast) = 3%	
P(roman|vast) = 3%	
P(ice|vast) = 3%	
P(regions|vast) = 3%	
P(majority|vast) = 3%	
P(stones,|vast) = 3%	
P(foundation,|vast) = 3%	
P(regions.|vast) = 3%	
P(sums|vast) = 3%	
P(preparations|vast) = 3%	
P(slaughter|vast) = 3%	
P(extent|vast) = 3%	
P(a|vast) = 3%	
P(wooded|vast) = 3%	
P(influence,|vast) = 3%	
P(camp|vast) = 3%	
P(space|vast) = 3%	
P(amount|vast) = 3%	
P(reputation|vast) = 3%	
P(following|vast) = 3%	
P(revenues|vast) = 3%	
P(with|vatican) = 100%	
P(benedict|vatican,) = 100%	
P(then|vatnshorn.) = 50%	
P(for|vatnshorn.) = 50%	
P(from|vavasors,) = 100%	
P(from|veered) = 100%	
P(and|veered,) = 100%	
P(on|vehemence) = 100%	
P(longing|vehement) = 50%	
P(in|vehement) = 50%	
P(eager|vehemently) = 100%	
P(of|veil) = 100%	
P(the|veils) = 100%	
P(a|vellum,) = 100%	
P(body|venerable) = 11%	
P(naimes,|venerable) = 11%	
P(church|venerable) = 22%	
P(father|venerable) = 11%	
P(hatto,|venerable) = 11%	
P(monument|venerable) = 11%	
P(palmers,|venerable) = 11%	
P(lady|venerable) = 11%	
P(the|venerable.) = 100%	
P(for|venerated) = 100%	
P(by|veneration) = 100%	
P(mahomet,|veneration.) = 100%	
P(fleet,|venetian) = 50%	
P(merchants,|venetian) = 50%	
P(and|venetians) = 25%	
P(gained|venetians) = 25%	
P(forbidden|venetians) = 25%	
P(conquer|venetians) = 25%	
P(these|venetians.) = 100%	
P(on|vengeance) = 50%	
P(presented|vengeance) = 50%	
P(and|vengeance,) = 67%	
P(they|vengeance,) = 33%	
P(in|venial) = 100%	
P(under|venial,) = 100%	
P(falls|venice) = 100%	
P(the|venice;) = 100%	
P(was|venison) = 100%	
P(of|ventail) = 100%	
P(in|vented) = 100%	
P(on|venture) = 33%	
P(to|venture) = 67%	
P(to|ventured) = 83%	
P(upon|ventured) = 17%	
P(even|venturing) = 100%	
P(_turnen_,|verb) = 100%	
P(agreed,|verbally) = 100%	
P(among|verberie) = 100%	
P(it|vercelli.) = 100%	
P(and|verdun) = 33%	
P((843)|verdun) = 33%	
P([843]|verdun) = 33%	
P(whither|verdun,) = 17%	
P(the|verdun,) = 33%	
P(various|verdun,) = 17%	
P(they|verdun,) = 17%	
P(between|verdun,) = 17%	
P(by|verified) = 100%	
P(to|verily,) = 100%	
P(child|veritable) = 100%	
P(and|vermandois) = 67%	
P(by|vermandois) = 33%	
P(from|vermandois,) = 25%	
P(contrary|vermandois,) = 25%	
P(whose|vermandois,) = 25%	
P(when,|vermandois,) = 25%	
P(with|vermandois.) = 100%	
P(tongue|vernacular) = 100%	
P(november,|versailles--in) = 100%	
P(activity.|versatile) = 100%	
P(and|versatility) = 100%	
P(solacing|verse,) = 100%	
P("be|verse;) = 100%	
P(in|versed) = 100%	
P(were|verses) = 100%	
P(based|versions) = 100%	
P(decidedly|very) = 1%	
P(scrupulous|very) = 1%	
P(fond|very) = 1%	
P(soon|very) = 3%	
P(soldiery|very) = 1%	
P(outworks|very) = 1%	
P(busy,|very) = 1%	
P(port.|very) = 1%	
P(interesting|very) = 1%	
P(character|very) = 1%	
P(young|very) = 1%	
P(extensive|very) = 1%	
P(slowly,|very) = 1%	
P(intractable|very) = 1%	
P(good|very) = 1%	
P(far|very) = 1%	
P(early|very) = 3%	
P(walls|very) = 1%	
P(nearly|very) = 1%	
P(day|very) = 2%	
P(term|very) = 1%	
P(poor,|very) = 1%	
P(level|very) = 1%	
P(zeal|very) = 1%	
P(bad|very) = 2%	
P(ablest|very) = 1%	
P(night|very) = 2%	
P(small|very) = 2%	
P(brothers.|very) = 1%	
P(often|very) = 1%	
P(obscure,|very) = 1%	
P(nature,|very) = 1%	
P(slight.|very) = 1%	
P(judicious|very) = 1%	
P(probably|very) = 1%	
P(participation|very) = 1%	
P(specious|very) = 1%	
P(ill,|very) = 1%	
P(earliest|very) = 1%	
P(beginning|very) = 1%	
P(great|very) = 1%	
P(rare|very) = 1%	
P(many|very) = 1%	
P(purpose,|very) = 1%	
P(imperfectly|very) = 1%	
P(insufficient|very) = 1%	
P(first|very) = 1%	
P(simple|very) = 1%	
P(sparing|very) = 1%	
P(powerful|very) = 1%	
P(apt|very) = 1%	
P(rashness|very) = 1%	
P(little|very) = 3%	
P(next|very) = 1%	
P(few|very) = 1%	
P(much|very) = 3%	
P(type|very) = 1%	
P(easy.|very) = 1%	
P(naturally|very) = 2%	
P(eyes|very) = 1%	
P(first,|very) = 1%	
P(particular|very) = 1%	
P(unequal|very) = 1%	
P(considerable|very) = 1%	
P(mount|very) = 1%	
P(appearance|very) = 1%	
P(near|very) = 1%	
P(obvious|very) = 1%	
P(similar|very) = 1%	
P(strongly|very) = 1%	
P(zenith|very) = 1%	
P(certain|very) = 1%	
P(day-laborers|very) = 1%	
P(oppressive,|very) = 1%	
P(high--will|very) = 1%	
P(clearly|very) = 1%	
P(firmly|very) = 1%	
P(different|very) = 5%	
P(same|very) = 3%	
P(delay|very) = 1%	
P(widely|very) = 1%	
P(briefly|very) = 1%	
P(elements|very) = 1%	
P(singular|very) = 1%	
P(spot|very) = 1%	
P(unsaintly|very) = 1%	
P(moment|very) = 1%	
P(important|very) = 1%	
P(delicate|very) = 1%	
P(short|very) = 1%	
P(natural|very) = 2%	
P(doubtful;|very) = 1%	
P(different;|very) = 1%	
P(strong,|very) = 1%	
P(nine.|vespers) = 100%	
P(and|vespers,) = 100%	
P(having|vessel) = 100%	
P(and|vessels) = 23%	
P(be|vessels) = 8%	
P(of|vessels) = 8%	
P(freighted|vessels) = 8%	
P(to|vessels) = 8%	
P(which|vessels) = 15%	
P(were|vessels) = 15%	
P(burned|vessels) = 8%	
P(before|vessels) = 8%	
P(and|vessels,) = 50%	
P(all|vessels,) = 50%	
P(gold-mounted|vessels;) = 100%	
P(of|vestiges) = 100%	
P(of|vestments) = 100%	
P(and|vestments,) = 50%	
P(was|vestments,) = 50%	
P(ye|vestures,) = 100%	
P(leader|veteran) = 50%	
P(troops|veteran) = 50%	
P(wades|veterans,) = 100%	
P(creandi|vetus) = 100%	
P(as|vexed) = 100%	
P(on|vi) = 14%	
P(made|vi) = 14%	
P(remained|vi) = 14%	
P(soon|vi) = 14%	
P(now|vi) = 14%	
P(was|vi) = 29%	
P(king|vi,) = 20%	
P(the|vi,) = 20%	
P(set|vi,) = 20%	
P(uncle|vi,) = 20%	
P(to|vi,) = 20%	
P(his|vi;) = 50%	
P(he|vi;) = 50%	
P(upon|vicar) = 100%	
P(were|vice,) = 100%	
P(lastly|vice--and) = 100%	
P(of|vicegerent) = 100%	
P(the|vicegerent.) = 100%	
P(ealdormen.|viceregal) = 100%	
P(of|viceregent) = 100%	
P(took|viceroy) = 100%	
P(and|vices) = 33%	
P(of|vices) = 67%	
P(the|vices.) = 100%	
P(of|vicinity) = 50%	
P(to|vicinity) = 50%	
P(having|vicinity,) = 100%	
P(his|vicinity.) = 100%	
P(were|vicissitudes) = 100%	
P(but|vicissitudes;) = 100%	
P(of|victim) = 50%	
P(to|victim) = 50%	
P(the|victims) = 100%	
P(even|victims.) = 50%	
P(in|victims.) = 50%	
P(and|victims;) = 100%	
P(iv.|victor) = 100%	
P(stephen,|victor,) = 50%	
P(whom|victor,) = 50%	
P(of|victories) = 33%	
P(afterward|victories) = 33%	
P(in|victories) = 33%	
P(the|victories,) = 100%	
P(norman,|victorious) = 11%	
P(champion|victorious) = 11%	
P(barbarians.|victorious) = 11%	
P(expedition|victorious) = 11%	
P(over|victorious) = 11%	
P(to|victorious) = 11%	
P(almohades.|victorious) = 11%	
P(missionary|victorious) = 11%	
P(movement|victorious) = 11%	
P(and|victorious,) = 100%	
P(jipal,|victorious;) = 100%	
P(into|victoriously) = 100%	
P(and|victors) = 25%	
P(began|victors) = 25%	
P(now|victors) = 25%	
P(had|victors) = 25%	
P(out|victors,) = 100%	
P(it|victors.) = 100%	
P(even|victory) = 3%	
P(gained|victory) = 3%	
P(blew|victory) = 3%	
P(would|victory) = 3%	
P(on|victory) = 3%	
P(with|victory) = 3%	
P(of|victory) = 13%	
P(is|victory) = 7%	
P(had|victory) = 7%	
P(yacub|victory) = 3%	
P(than|victory) = 3%	
P(william|victory) = 7%	
P(as|victory) = 3%	
P(at|victory) = 3%	
P(in|victory) = 3%	
P(undecided.|victory) = 3%	
P(was|victory) = 17%	
P(over|victory) = 10%	
P(when|victory!) = 100%	
P(and|victory,) = 40%	
P(gregory|victory,) = 20%	
P(the|victory,) = 20%	
P(which|victory,) = 20%	
P(victory|victory--a) = 100%	
P(emboldened|victory.) = 33%	
P(three|victory.) = 33%	
P("this|victory.) = 33%	
P(we|victory;) = 33%	
P(while|victory;) = 33%	
P(but|victory;) = 33%	
P(mox|videtur:) = 100%	
P(de|vie) = 100%	
P(with|vied) = 100%	
P(of|view) = 50%	
P(is|view) = 10%	
P(toward|view) = 10%	
P(persuaded|view) = 10%	
P(to|view) = 20%	
P(and|view,) = 33%	
P(the|view,) = 33%	
P(that|view,) = 33%	
P(in|view.) = 100%	
P(as|viewed) = 100%	
P(with|viewing) = 100%	
P(displaying,|viewing,) = 100%	
P(are|viewpoints) = 100%	
P(and|views) = 13%	
P(of|views) = 38%	
P(as|views) = 13%	
P(which|views) = 13%	
P(requisite|views) = 13%	
P(than|views) = 13%	
P(which|views,) = 50%	
P(but|views,) = 50%	
P(in|views.) = 100%	
P(son,|vifil's) = 100%	
P(of|vigil) = 100%	
P(queen|vigilant) = 100%	
P(and|vigilantly) = 100%	
P(of|vigor) = 100%	
P(all|vigor,) = 50%	
P(which|vigor,) = 50%	
P(they|vigor.) = 33%	
P(he|vigor.) = 67%	
P(a|vigorous) = 11%	
P(champion|vigorous) = 11%	
P(narrative,|vigorous) = 11%	
P(onslaught|vigorous) = 11%	
P(resistance.|vigorous) = 11%	
P(efforts.|vigorous) = 11%	
P(attack.|vigorous) = 11%	
P(energy;|vigorous) = 11%	
P(man,|vigorous) = 11%	
P(and|vigorous,) = 100%	
P(forward|vigorously) = 33%	
P(maintained|vigorously) = 33%	
P(repulsed.|vigorously) = 33%	
P(of|vii) = 38%	
P(is|vii) = 13%	
P(suggests|vii) = 13%	
P(declares|vii) = 13%	
P(in|vii) = 13%	
P(ascended|vii) = 13%	
P(succeeds|vii,) = 20%	
P(whose|vii,) = 20%	
P(culminated|vii,) = 20%	
P(a.d.|vii,) = 20%	
P(in|vii,) = 20%	
P(see|vii.) = 33%	
P(men|vii.) = 33%	
P(in|vii.) = 33%	
P(the|vii;) = 33%	
P(it|vii;) = 33%	
P(they|vii;) = 33%	
P(repulses|viii) = 50%	
P(is|viii) = 50%	
P(king|viii,) = 50%	
P(when|viii,) = 50%	
P(the|viii.) = 100%	
P(hubba,|viking) = 50%	
P(who|viking) = 50%	
P(giving|viking,) = 100%	
P(who|vikings) = 100%	
P(is|vikings,) = 100%	
P(horde|vile) = 100%	
P(devastated|village) = 25%	
P(seven|village) = 25%	
P(on|village) = 25%	
P(of|village) = 25%	
P(but|village,) = 100%	
P(and|villages) = 67%	
P(of|villages) = 33%	
P(bearing|villages,) = 33%	
P(neither|villages,) = 33%	
P(which|villages,) = 33%	
P(were|villani) = 100%	
P(and|villani,) = 100%	
P(should|villein) = 100%	
P(had|villeins) = 100%	
P(slaves,|villeins,) = 100%	
P(their|vindicate) = 100%	
